Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Apr 2019)","FOB (BAHT)(Apr 2019)","Quantity (Jan - Apr 2019)","FOB (BAHT)(Jan - Apr 2019)"
2562,4,2,CH,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",319174,9785933,1143146,35902330
2562,4,2,MM,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",0,0,150000,2100015
2562,4,2,GH,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",183728,4099540,1166800,26344953
2562,4,2,AO,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",529000,6948135,1214006,16205302
2562,4,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",36175136,477257541,170341648,2299570785
2562,4,2,AU,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",24200,397880,549566,9065483
2562,4,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",131389750,1646914311,659460400,8303673628
2562,4,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",982700,12483118,3186700,41836951
2562,4,2,AU,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",1070493,15033287,21634866,274698404
2562,4,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",86472,2700019,220221,6937393
2562,4,2,CM,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",2465640,29401788,142722008,1722377642
2562,4,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",838000,15710914,3885976,72092237
2562,4,2,AE,10063099,090,KGM,"Other (KGM)",2578,497525,10480,1882903
2562,4,2,AO,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",579188,17965270,1625675,49904421
2562,4,2,AO,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",81025366,986155218,336551199,4199138439
2562,4,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",72612,4018114,181207,8807806
2562,4,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",0,0,5,35
2562,4,2,AU,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",830293,20581983,5345730,120975638
2562,4,2,GB,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",308603,4067813,740976,10603728
2562,4,2,AT,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",12869482,188500049,108351977,1558032398
2562,4,2,AU,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",15823800,176377470,66028506,738841699
2562,4,2,CI,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",2225790,44662919,4867640,98529354
2562,4,2,AU,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",24154941,349144010,75027193,1054164966
2562,4,2,NZ,10064090,018,KGM,"Broken rice parboiled A1 (KGM)",0,0,23000,336679
2562,4,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",8570700,165533655,31589240,588917003
2562,4,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",60000,1470372,140000,3447536
2562,4,2,CM,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",2046000,30455694,13431075,176313867
2562,4,2,BE,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",3559790,46963264,15789000,212760725
2562,4,2,NL,10064090,609,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (Organic) (KGM)",0,0,1060,32906
